#EMOJI,TITLE,CATEGORY,CODEPOINT,PARENTCODEPOINT,ANNOTATIONS,BRI,VERSION
😀,Grinning Face,SMILEYS & PEOPLE,U+1F600,,face;grin;person,smiley;smile;happy;yay;excited;woo;nice;awesome;cheers;perfect,9
😃,Smiling Face With Open Mouth,SMILEYS & PEOPLE,U+1F603,,face;mouth;open;person;smile,grin;smiley;happy;yay;excited;woo;nice;awesome,9
😄,Smiling Face With Open Mouth and Smiling Eyes,SMILEYS & PEOPLE,U+1F604,,eye;face;mouth;open;person;smile,grin;smiley;happy;yay;joy;excited;woo;nice;awesome,9
😁,Grinning Face With Smiling Eyes,SMILEYS & PEOPLE,U+1F601,,eye;face;grin;person;smile,grin;yay;amazing;joy;perfect;awesome;woo;nice;cheers,9
😆,Smiling Face With Open Mouth and Tightly-Closed Eyes,SMILEYS & PEOPLE,U+1F606,,face;laugh;mouth;open;person;satisfied;smile,lol; haha; laughing; hehe;lawl;lmao;funny;ha;heh,9
😅,Smiling Face With Open Mouth and Cold Sweat,SMILEYS & PEOPLE,U+1F605,,cold;face;open;person;smile;sweat,heh; hehe; haha;lol;laugh;lawl;lmao;funny;ha;laughing,9
😂,Face With Tears of Joy,SMILEYS & PEOPLE,U+1F602,,face;joy;person;tear,laughing; tears; happy; lol; lmao; haha;lawl;funny;ha;heh;hehe,9
🤣,Rolling on the Floor Laughing,SMILEYS & PEOPLE,U+1F923,,face;floor;laugh;rolling,laughing; tears; happy; lol; lmao; haha;lawl;funny;ha;heh;hehe,10.2
☺️,White Smiling Face,SMILEYS & PEOPLE,U+263A U+FE0F,,face;outlined;person;relaxed;smile,happy; excited;yay;smile;nice;fun;thanks;hi;hello;hey;,9
😊,Smiling Face With Smiling Eyes,SMILEYS & PEOPLE,U+1F60A,,blush;eye;face;person;smile,blush;happy;yay;ecstatic;smile;nice;fun;thanks;aww;hi;hello;hey,9
😇,Smiling Face With Halo,SMILEYS & PEOPLE,U+1F607,,angel;face;fairy tale;fantasy;halo;innocent;person;smile,angel;smiley;happy;perfect;aww,9
🙂,Slightly Smiling Face,SMILEYS & PEOPLE,U+1F642,,face;person;smile,happy; excited;yay;smile;nice;fun;thanks,9
🙃,Upside-Down Face,SMILEYS & PEOPLE,U+1F643,,face;person;upside-down,smile;what;wut;wat;ok;wtf;hmm;wow,9
😉,Winking Face,SMILEYS & PEOPLE,U+1F609,,face;person;wink,wink;nice;sweet;wow,9
😌,Relieved Face,SMILEYS & PEOPLE,U+1F60C,,face;person;relieved,content;sigh;phew;nice;thanks;,9
😍,Smiling Face With Heart-Shaped Eyes,SMILEYS & PEOPLE,U+1F60D,,eye;face;heart;love;person;smile,love;happy;excited;thanks;amazing;perfect;hi;hello;hey,9
🥰,smiling face with 3 hearts,SMILEYS & PEOPLE,U+1F970,,adore;crush;in love;smiling face with 3 hearts,love;happy;excited;thanks;amazing;perfect;hi;hello;hey,12.1
😘,Face Throwing a Kiss,SMILEYS & PEOPLE,U+1F618,,face;heart;kiss;person,kiss;smooch; thanks; love;aww;amazing;perfect;cute,9
😗,Kissing Face,SMILEYS & PEOPLE,U+1F617,,face;kiss;person,kiss;smooch; thanks; love;aww;amazing;perfect;cute,9
😙,Kissing Face With Smiling Eyes,SMILEYS & PEOPLE,U+1F619,,eye;face;kiss;person;smile,smooch;kiss; thanks; love;aww;amazing;perfect;cute,9
😚,Kissing Face With Closed Eyes,SMILEYS & PEOPLE,U+1F61A,,closed;eye;face;kiss;person,smooch;kiss;blush; thanks; love;happy;cute,9
😋,Face Savouring Delicious Food,SMILEYS & PEOPLE,U+1F60B,,delicious;face;food;person;savouring;smile;um;yum,silly;tongue;tasty;delicous;hungry;excited,9
😛,Face With Stuck-Out Tongue,SMILEYS & PEOPLE,U+1F61B,,face;person;tongue,silly;gotcha,9
😝,Face With Stuck-Out Tongue and Tightly-Closed Eyes,SMILEYS & PEOPLE,U+1F61D,,eye;face;horrible;person;taste;tongue,big smile;happy;silly;lol;lmao;lawl;haha;,9
😜,Face With Stuck-Out Tongue and Winking Eye,SMILEYS & PEOPLE,U+1F61C,,eye;face;joke;person;tongue;wink,crazy;silly;wink;fun,9
🤪,crazy face,SMILEYS & PEOPLE,U+1F92A,,eye;large;small,wacky;crazy;hyper;excited;,11.1
🤨,face with raised eyebrow,SMILEYS & PEOPLE,U+1F928,,distrust;skeptic;disapproval;disbelief;mild surprise;scepticism,hmm;confused;unsure;thinking;contemplating;think;contemplate;thought;sure,11.1
🧐,face with monocle,SMILEYS & PEOPLE,U+1F9D0,,stuffy;wealthy,smart;genius;rich;loaded;fancy;proper;thinking,11.1
🤓,Nerd Face,SMILEYS & PEOPLE,U+1F913,,face;geek;nerd;person,glasses;smart;buckteeth;teeth;,9
😎,Smiling Face With Sunglasses,SMILEYS & PEOPLE,U+1F60E,,bright;cool;eye;eyewear;face;glasses;person;smile;sun;sunglasses;weather,sunny;awesome;shades;sunnys;beach;summer;outside;smug,9
🤩,star-struck,SMILEYS & PEOPLE,U+1F929,,eyes;face;grinning;star;starry-eyed,wow;awesome;best;perfect;excited;best;aww,11.1
🥳,partying face,SMILEYS & PEOPLE,U+1F973,,celebration;hat;horn;party;partying face,party;celebrate;celebration;w00t;woohoo,12.1
😏,Smirking Face,SMILEYS & PEOPLE,U+1F60F,,face;person;smirk,smirk;ironic;sarcastic;smug;gotcha;woo,9
😒,Unamused Face,SMILEYS & PEOPLE,U+1F612,,face;person;unamused;unhappy,sigh;eye roll;whatever;jeez;yea right;what;ok;,9
😞,Disappointed Face,SMILEYS & PEOPLE,U+1F61E,,disappointed;face;person,sad;sigh;upset;shucks;dang;,9
😔,Pensive Face,SMILEYS & PEOPLE,U+1F614,,dejected;face;pensive;person,sigh;sad;upset;shucks;dang;bleh;no;sucks;damn;,9
😟,Worried Face,SMILEYS & PEOPLE,U+1F61F,,face;person;worried,yikes;eww;gross;really;uh oh;no;sucks;upset;damn;,9
😕,Confused Face,SMILEYS & PEOPLE,U+1F615,,confused;face;person,unhappy;uh oh;aww man;dang;that sucks;sucks;damn,9
🙁,Slightly Frowning Face,SMILEYS & PEOPLE,U+1F641,,face;frown;person,unhappy;uh oh;aww man;dang;that sucks;sucks;sad;upset,9
☹️,White Frowning Face,SMILEYS & PEOPLE,U+2639 U+FE0F,,face;frown;person,unhappy;uh oh;aww man;dang;that sucks;sucks;waa;sad;upset;,9
😣,Persevering Face,SMILEYS & PEOPLE,U+1F623,,face;persevere;person,constipated;happy;bleh;jeez;uh oh;ahh;,9
😖,Confounded Face,SMILEYS & PEOPLE,U+1F616,,confounded;face;person,unhappy;yikes;disgruntled;unsettled;unsure;bleh;,9
😫,Tired Face,SMILEYS & PEOPLE,U+1F62B,,face;person;tired,whine;unhappy;waa;,9
😩,Weary Face,SMILEYS & PEOPLE,U+1F629,,face;person;tired;weary,unhappy;whine;waa;,9
🥺,pleading face,SMILEYS & PEOPLE,U+1F97A,,begging;mercy;pleading face;puppy eyes,please;beg;big eyes;eyes;,12.1
😢,Crying Face,SMILEYS & PEOPLE,U+1F622,,cry;face;person;sad;tear,please;why;boo;waa;damn;sucks;upset;please,9
😭,Loudly Crying Face,SMILEYS & PEOPLE,U+1F62D,,cry;face;person;sad;sob;tear,crying;upset;why;boo;waa,9
😤,Face With Look of Triumph,SMILEYS & PEOPLE,U+1F624,,face;person;triumph;won,angry;hurrumph;grr;mad;steaming;trouble;,9
😠,Angry Face,SMILEYS & PEOPLE,U+1F620,,angry;face;mad;person,grr;upset;trouble;pissed;rage;,9
😡,Pouting Face,SMILEYS & PEOPLE,U+1F621,,angry;face;mad;person;pouting;rage;red,grr;upset;trouble;pissed;rage;,9
🤬,face with symbols on mouth,SMILEYS & PEOPLE,U+1F92C,,swearing;cursing,angry;hurrumph;grr;mad;steaming;trouble;upset;trouble;pissed;rage,11.1
🤯,exploding head,SMILEYS & PEOPLE,U+1F92F,,shocked,woah;wow;awesome;mind;blown;damn;cool;no way;dope,11.1
😳,Flushed Face,SMILEYS & PEOPLE,U+1F633,,dazed;face;flushed;person,surprised;embarrassed;what;really;wow,9
🥵,hot face,SMILEYS & PEOPLE,U+1F975,,feverish;heat stroke;hot;hot face;red-faced;sweating,hot;fever;red;miserable;sweat;,12.1
🥶,cold face,SMILEYS & PEOPLE,U+1F976,,blue-faced;cold;cold face;freezing;frostbite;icicles,cold;blue;freezing;,12.1
😱,Face Screaming in Fear,SMILEYS & PEOPLE,U+1F631,,face;fear;fearful;munch;person;scared;scream,noooo;scary;scream;wow;woah;no way;yikes;,9
😨,Fearful Face,SMILEYS & PEOPLE,U+1F628,,face;fear;fearful;person;scared,ahh;no;scary;yikes;,9
😰,Face With Open Mouth and Cold Sweat,SMILEYS & PEOPLE,U+1F630,,blue;cold;face;mouth;open;person;rushed;sweat,sad;tear;cry;boo;,9
😥,Disappointed but Relieved Face,SMILEYS & PEOPLE,U+1F625,,disappointed;face;person;relieved;whew,sad;tear;cry;boo,9
😓,Face With Cold Sweat,SMILEYS & PEOPLE,U+1F613,,cold;face;person;sweat,stressed;exhausted;,9
🤗,Hugging Face,SMILEYS & PEOPLE,U+1F917,,face;hug;hugging;person,blush;hands;thanks;happy;hi;hey;hello,9
🤔,Thinking Face,SMILEYS & PEOPLE,U+1F914,,face;person;thinking,hmm;eyebrows;confused,9
🤭,face with hand over mouth,SMILEYS & PEOPLE,U+1F92D,,whoops;shock;sudden realization;surprise,uh oh;oh my;what;really;seriously;,11.1
🤫,shushing face,SMILEYS & PEOPLE,U+1F92B,,quiet;shush,shh;shut up;,11.1
🤥,Lying Face,SMILEYS & PEOPLE,U+1F925,,face;lie;pinocchio,lying;fibbing;nose;fake;,10.2
😶,Face Without Mouth,SMILEYS & PEOPLE,U+1F636,,face;mouth;person;quiet;silent,uhh;umm;what;no reaction;blank;umm;,9
😐,Neutral Face,SMILEYS & PEOPLE,U+1F610,,deadpan;face;neutral;person,grimace;what;blank;no reaction;what;umm;,9
😑,Expressionless Face,SMILEYS & PEOPLE,U+1F611,,expressionless;face;inexpressive;person;unexpressive,grimace;what;blank;no reaction;what;umm;,9
😬,Grimacing Face,SMILEYS & PEOPLE,U+1F62C,,face;grimace;person,grin;eek;excited;yay;,9
🙄,Face With Rolling Eyes,SMILEYS & PEOPLE,U+1F644,,eyes;face;person;rolling,sigh;sarcasm;whatever;,9
😯,Hushed Face,SMILEYS & PEOPLE,U+1F62F,,face;hushed;person;stunned;surprised,what;shock;surprise;wow;woo;unbelivable,9
😦,Frowning Face With Open Mouth,SMILEYS & PEOPLE,U+1F626,,face;frown;mouth;open;person,what;shock;surprise;wow;woo;unbelivable,9
😧,Anguished Face,SMILEYS & PEOPLE,U+1F627,,anguished;face;person,what;shock;surprise;wow;woo;unbelivable,9
😮,Face With Open Mouth,SMILEYS & PEOPLE,U+1F62E,,face;mouth;open;person;sympathy,shock;surprise;wow;woo;what;oh my;unbelivable,9
😲,Astonished Face,SMILEYS & PEOPLE,U+1F632,,astonished;face;person;shocked;totally,shock;surprise;wow;woo;what;oh my;unbelivable,9
😴,Sleeping Face,SMILEYS & PEOPLE,U+1F634,,face;person;sleep,tired;zzz;nap;sleepy;out;night;passed out;,9
🤤,Drooling Face,SMILEYS & PEOPLE,U+1F924,,drooling;face,yum;tasty;excited;,10.2
😪,Sleepy Face,SMILEYS & PEOPLE,U+1F62A,,face;person;sleep,tired;zzz;nap;sleepy;out;night;,9
😵,Dizzy Face,SMILEYS & PEOPLE,U+1F635,,dizzy;face;person,dead;done;out;passed out;,9
🤐,Zipper-Mouth Face,SMILEYS & PEOPLE,U+1F910,,face;mouth;person;zipper,snitch;quiet;shut up;,9
🥴,woozy face,SMILEYS & PEOPLE,U+1F974,,dizzy;intoxicated;tipsy;uneven eyes;wavy mouth;woozy face,drunk;intoxicated;dizzy;queasy;puke,12.1
🤢,Nauseated Face,SMILEYS & PEOPLE,U+1F922,,face;nauseated;vomit,puke;sick;gross;yuck;ew;ick,10.2
🤮,face vomiting,SMILEYS & PEOPLE,U+1F92E,,sick;vomit,puke;sick;gross;yuck;ew;ick,11.1
🤧,Sneezing Face,SMILEYS & PEOPLE,U+1F927,,face;gesundheit;sneeze,achoo;sick;cold;flu;cough;ill;,10.2
😷,Face With Medical Mask,SMILEYS & PEOPLE,U+1F637,,cold;doctor;face;mask;medicine;person;sick,achoo;sick;cold;flu;cough;ill;,9
🤒,Face With Thermometer,SMILEYS & PEOPLE,U+1F912,,face;ill;person;sick;thermometer,achoo;sick;cold;flu;cough;ill;,9
🤕,Face With Head-Bandage,SMILEYS & PEOPLE,U+1F915,,bandage;face;hurt;injury;person,achoo;sick;cold;flu;cough;ill;,9
🤑,Money-Mouth Face,SMILEYS & PEOPLE,U+1F911,,face;money;mouth;person,cha-ching;dollars;rich;moola;bucks;,9
🤠,Face with Cowboy Hat,SMILEYS & PEOPLE,U+1F920,,cowboy;cowgirl;face;hat,rodeo;yeehaw;ranch;wrangler;,10.2
😈,Smiling Face With Horns,SMILEYS & PEOPLE,U+1F608,,face;fairy tale;fantasy;horns;person;smile,devil;evil,9
👿,Imp,SMILEYS & PEOPLE,U+1F47F,,devil;face;fairy tale;fantasy;imp;person,devil;angry;horn,9
👹,Japanese Ogre,SMILEYS & PEOPLE,U+1F479,,creature;face;fairy tale;fantasy;japanese;monster;ogre;person,,9
👺,Japanese Goblin,SMILEYS & PEOPLE,U+1F47A,,creature;face;fairy tale;fantasy;goblin;japanese;monster;person,,9
🤡,Clown Face,SMILEYS & PEOPLE,U+1F921,,clown;face,joke;,10.2
💩,Pile of Poo,SMILEYS & PEOPLE,U+1F4A9,,comic;dung;face;monster;nature;object;poo;poop,joke;meme;,9
👻,Ghost,SMILEYS & PEOPLE,U+1F47B,,creature;face;fairy tale;fantasy;ghost;monster;person,boo;spooky;halloween;scary,9
💀,Skull,SMILEYS & PEOPLE,U+1F480,,body;death;face;fairy tale;monster;person;skull,spooky;halloween;scary;dead;done;,9
☠️,Skull and Crossbones,SMILEYS & PEOPLE,U+2620 U+FE0F,,body;crossbones;death;face;monster;person;skull,spooky;halloween;scary;dead;done;,9
👽,Extraterrestrial Alien,SMILEYS & PEOPLE,U+1F47D,,alien;creature;extraterrestrial;face;fairy tale;fantasy;monster;nature;person;space;ufo,et;martian;,9
👾,Alien Monster,SMILEYS & PEOPLE,U+1F47E,,alien;creature;extraterrestrial;face;fairy tale;fantasy;monster;nature;person;space;ufo,video game;,9
🤖,Robot Face,SMILEYS & PEOPLE,U+1F916,,face;monster;person;robot,machine;,9
🎃,Jack-O-Lantern,SMILEYS & PEOPLE,U+1F383,,activity;celebration;entertainment;halloween;jack;lantern;object,pumpkin;carving;patch;fall;autumn;,9
😺,Smiling Cat Face With Open Mouth,SMILEYS & PEOPLE,U+1F63A,,animal;cat;face;mouth;nature;open;smile,,9
😸,Grinning Cat Face With Smiling Eyes,SMILEYS & PEOPLE,U+1F638,,animal;cat;eye;face;grin;nature;smile,,9
😹,Cat Face With Tears of Joy,SMILEYS & PEOPLE,U+1F639,,animal;cat;face;joy;nature;tear,,9
😻,Smiling Cat Face With Heart-Shaped Eyes,SMILEYS & PEOPLE,U+1F63B,,animal;cat;eye;face;heart;love;nature;smile,,9
😼,Cat Face With Wry Smile,SMILEYS & PEOPLE,U+1F63C,,animal;cat;face;ironic;nature;smile;wry,,9
😽,Kissing Cat Face With Closed Eyes,SMILEYS & PEOPLE,U+1F63D,,animal;cat;eye;face;kiss;nature,,9
🙀,Weary Cat Face,SMILEYS & PEOPLE,U+1F640,,animal;cat;face;nature;oh;surprised;weary,,9
😿,Crying Cat Face,SMILEYS & PEOPLE,U+1F63F,,animal;cat;cry;face;nature;sad;tear,,9
😾,Pouting Cat Face,SMILEYS & PEOPLE,U+1F63E,,animal;cat;face;nature;pouting,,9
🤲,palms up together,SMILEYS & PEOPLE,U+1F932,U+1F932,prayer;cupped hands,,11.1
🤲🏻,palms up together,SMILEYS & PEOPLE,U+1F932 U+1F3FB,U+1F932,prayer;cupped hands,,11.1
🤲🏼,palms up together,SMILEYS & PEOPLE,U+1F932 U+1F3FC,U+1F932,prayer;cupped hands,,11.1
🤲🏽,palms up together,SMILEYS & PEOPLE,U+1F932 U+1F3FD,U+1F932,prayer;cupped hands,,11.1
🤲🏾,palms up together,SMILEYS & PEOPLE,U+1F932 U+1F3FE,U+1F932,prayer;cupped hands,,11.1
🤲🏿,palms up together,SMILEYS & PEOPLE,U+1F932 U+1F3FF,U+1F932,prayer;cupped hands,,11.1
👐,Open Hands Sign,SMILEYS & PEOPLE,U+1F450,U+1F450,body;hand;open;person,,9
👐🏻,Open Hands Sign +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F450 U+1F3FB,U+1F450,body;hand;open;person,,9
👐🏼,Open Hands Sign +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F450 U+1F3FC,U+1F450,body;hand;open;person,,9
👐🏽,Open Hands Sign +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F450 U+1F3FD,U+1F450,body;hand;open;person,,9
👐🏾,Open Hands Sign +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F450 U+1F3FE,U+1F450,body;hand;open;person,,9
👐🏿,Open Hands Sign +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F450 U+1F3FF,U+1F450,body;hand;open;person,,9
🙌,Person Raising Both Hands in Celebration,SMILEYS & PEOPLE,U+1F64C,U+1F64C,body;celebration;gesture;hand;hooray;person;raised,yay;woo;thanks;hooray;awesome;wow;congrats;thank you;,9
🙌🏻,Person Raising Both Hands in Celebration +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F64C U+1F3FB,U+1F64C,body;celebration;gesture;hand;hooray;person;raised,yay;woo;thanks;hooray;awesome;wow;congrats;thank you;,9
🙌🏼,Person Raising Both Hands in Celebration +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F64C U+1F3FC,U+1F64C,body;celebration;gesture;hand;hooray;person;raised,yay;woo;thanks;hooray;awesome;wow;congrats;thank you;,9
🙌🏽,Person Raising Both Hands in Celebration +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F64C U+1F3FD,U+1F64C,body;celebration;gesture;hand;hooray;person;raised,yay;woo;thanks;hooray;awesome;wow;congrats;thank you;,9
🙌🏾,Person Raising Both Hands in Celebration +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F64C U+1F3FE,U+1F64C,body;celebration;gesture;hand;hooray;person;raised,yay;woo;thanks;hooray;awesome;wow;congrats;thank you;,9
🙌🏿,Person Raising Both Hands in Celebration +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F64C U+1F3FF,U+1F64C,body;celebration;gesture;hand;hooray;person;raised,yay;woo;thanks;hooray;awesome;wow;congrats;thank you;,9
👏,Clapping Hands Sign,SMILEYS & PEOPLE,U+1F44F,U+1F44F,body;clap;hand;person,congrats;congratulations;nice;way to go;awesome;perfect;best;preach;,9
👏🏻,Clapping Hands Sign +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F44F U+1F3FB,U+1F44F,body;clap;hand;person,congrats;congratulations;nice;way to go;awesome;perfect;best;preach;,9
👏🏼,Clapping Hands Sign +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F44F U+1F3FC,U+1F44F,body;clap;hand;person,congrats;congratulations;nice;way to go;awesome;perfect;best;preach;,9
👏🏽,Clapping Hands Sign +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F44F U+1F3FD,U+1F44F,body;clap;hand;person,congrats;congratulations;nice;way to go;awesome;perfect;best;preach;,9
👏🏾,Clapping Hands Sign +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F44F U+1F3FE,U+1F44F,body;clap;hand;person,congrats;congratulations;nice;way to go;awesome;perfect;best;preach;,9
👏🏿,Clapping Hands Sign +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F44F U+1F3FF,U+1F44F,body;clap;hand;person,congrats;congratulations;nice;way to go;awesome;perfect;best;preach;,9
🤝,Handshake,SMILEYS & PEOPLE,U+1F91D,,agreement;hand;handshake;meeting;shake,ok;good;,10.2
👍,Thumbs Up Sign,SMILEYS & PEOPLE,U+1F44D,U+1F44D,+1;body;hand;person;thumb;thumbs up;up,nice;thanks;thank you;yes;yea;sure;ok;good;perfect;fantastic;,9
👍🏻,Thumbs Up Sign +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F44D U+1F3FB,U+1F44D,+1;body;hand;person;thumb;thumbs up;up,nice;thanks;thank you;yes;yea;sure;ok;good;perfect;fantastic;,9
👍🏼,Thumbs Up Sign +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F44D U+1F3FC,U+1F44D,+1;body;hand;person;thumb;thumbs up;up,nice;thanks;thank you;yes;yea;sure;ok;good;perfect;fantastic;,9
👍🏽,Thumbs Up Sign +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F44D U+1F3FD,U+1F44D,+1;body;hand;person;thumb;thumbs up;up,nice;thanks;thank you;yes;yea;sure;ok;good;perfect;fantastic;,9
👍🏾,Thumbs Up Sign +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F44D U+1F3FE,U+1F44D,+1;body;hand;person;thumb;thumbs up;up,nice;thanks;thank you;yes;yea;sure;ok;good;perfect;fantastic;,9
👍🏿,Thumbs Up Sign +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F44D U+1F3FF,U+1F44D,+1;body;hand;person;thumb;thumbs up;up,nice;thanks;thank you;yes;yea;sure;ok;good;perfect;fantastic;,9
👎,Thumbs Down Sign,SMILEYS & PEOPLE,U+1F44E,U+1F44E,-1;body;down;hand;person;thumb;thumbs down,boo;no;nope;no way;,9
👎🏻,Thumbs Down Sign +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F44E U+1F3FB,U+1F44E,-1;body;down;hand;person;thumb;thumbs down,boo;no;nope;no way;,9
👎🏼,Thumbs Down Sign +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F44E U+1F3FC,U+1F44E,-1;body;down;hand;person;thumb;thumbs down,boo;no;nope;no way;,9
👎🏽,Thumbs Down Sign +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F44E U+1F3FD,U+1F44E,-1;body;down;hand;person;thumb;thumbs down,boo;no;nope;no way;,9
👎🏾,Thumbs Down Sign +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F44E U+1F3FE,U+1F44E,-1;body;down;hand;person;thumb;thumbs down,boo;no;nope;no way;,9
👎🏿,Thumbs Down Sign +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F44E U+1F3FF,U+1F44E,-1;body;down;hand;person;thumb;thumbs down,boo;no;nope;no way;,9
👊,Fisted Hand Sign,SMILEYS & PEOPLE,U+1F44A,U+1F44A,body;clenched;fist;hand;person;punch,,9
👊🏻,Fisted Hand Sign +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F44A U+1F3FB,U+1F44A,body;clenched;fist;hand;person;punch,,9
👊🏼,Fisted Hand Sign +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F44A U+1F3FC,U+1F44A,body;clenched;fist;hand;person;punch,,9
👊🏽,Fisted Hand Sign +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F44A U+1F3FD,U+1F44A,body;clenched;fist;hand;person;punch,,9
👊🏾,Fisted Hand Sign +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F44A U+1F3FE,U+1F44A,body;clenched;fist;hand;person;punch,,9
👊🏿,Fisted Hand Sign +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F44A U+1F3FF,U+1F44A,body;clenched;fist;hand;person;punch,,9
✊,raised fist,SMILEYS & PEOPLE,U+270A,U+270A,clenched;fist;hand;punch,,10.3
✊🏻,raised fist,SMILEYS & PEOPLE,U+270A U+1F3FB,U+270A,clenched;fist;hand;punch,,10.3
✊🏼,raised fist,SMILEYS & PEOPLE,U+270A U+1F3FC,U+270A,clenched;fist;hand;punch,,10.3
✊🏽,raised fist,SMILEYS & PEOPLE,U+270A U+1F3FD,U+270A,clenched;fist;hand;punch,,10.3
✊🏾,raised fist,SMILEYS & PEOPLE,U+270A U+1F3FE,U+270A,clenched;fist;hand;punch,,10.3
✊🏿,raised fist,SMILEYS & PEOPLE,U+270A U+1F3FF,U+270A,clenched;fist;hand;punch,,10.3
🤛,Left-Facing Fist,SMILEYS & PEOPLE,U+1F91B,U+1F91B,fist;leftwards,punch,10.2
🤛🏻,Left-Facing Fist +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F91B U+1F3FB,U+1F91B,fist;leftwards,punch,10.2
🤛🏼,Left-Facing Fist +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F91B U+1F3FC,U+1F91B,fist;leftwards,punch,10.2
🤛🏽,Left-Facing Fist +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F91B U+1F3FD,U+1F91B,fist;leftwards,punch,10.2
🤛🏾,Left-Facing Fist +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F91B U+1F3FE,U+1F91B,fist;leftwards,punch,10.2
🤛🏿,Left-Facing Fist +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F91B U+1F3FF,U+1F91B,fist;leftwards,punch,10.2
🤜,Right-Facing Fist,SMILEYS & PEOPLE,U+1F91C,U+1F91C,fist;rightwards,punch,10.2
🤜🏻,Right-Facing Fist +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F91C U+1F3FB,U+1F91C,fist;rightwards,punch,10.2
🤜🏼,Right-Facing Fist +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F91C U+1F3FC,U+1F91C,fist;rightwards,punch,10.2
🤜🏽,Right-Facing Fist +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F91C U+1F3FD,U+1F91C,fist;rightwards,punch,10.2
🤜🏾,Right-Facing Fist +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F91C U+1F3FE,U+1F91C,fist;rightwards,punch,10.2
🤜🏿,Right-Facing Fist +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F91C U+1F3FF,U+1F91C,fist;rightwards,punch,10.2
🤞,Hand With Index and Middle Fingers Crossed,SMILEYS & PEOPLE,U+1F91E,U+1F91E,cross;finger;hand;luck,fingers;crossed;good;,10.2
🤞🏻,Hand With Index and Middle Fingers Crossed +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F91E U+1F3FB,U+1F91E,cross;finger;hand;luck,fingers;crossed;good;,10.2
🤞🏼,Hand With Index and Middle Fingers Crossed +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F91E U+1F3FC,U+1F91E,cross;finger;hand;luck,fingers;crossed;good;,10.2
🤞🏽,Hand With Index and Middle Fingers Crossed +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F91E U+1F3FD,U+1F91E,cross;finger;hand;luck,fingers;crossed;good;,10.2
🤞🏾,Hand With Index and Middle Fingers Crossed +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F91E U+1F3FE,U+1F91E,cross;finger;hand;luck,fingers;crossed;good;,10.2
